Postcode;Plaatsnaam;Gemeentecode;Gemeente;Provinciecode;Provincie;Zorgkantoorcode;Zorgkantoor;Rechtspersoon
5631;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5632;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5633;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5641;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5642;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5643;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5644;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5645;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5646;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5647;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5651;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5652;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5653;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5654;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5655;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5656;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5657;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5658;EINDHOVEN         ;772;EINDHOVEN               ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5660;GELDROP           ;1771;GELDROP-MIERLO          ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
5661;GELDROP           ;1771;GELDROP-MIERLO          ;P;Noord-Brabant;5529;ZUIDOOST-BRABANT;CZ
